source_id,ra,dec,parallax,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag
4311296143190400000,283.046627023063,9.563384334542425,0.3394673979515266,19.734268,17.6716,18.620249
4311297964253200000,283.26912735121124,9.67101591405926,0.4741006502441253,,,19.33466
4311349130247200000,283.24549487105344,10.050542987499794,0.09919998150702432,17.959955,15.94564,16.931688
4311514056946000000,282.5393462008097,9.892485374689974,0.48589628399723866,20.931072,19.298279,20.07572
4311349400791200000,283.221487711923,10.070758053286445,0.36837124572612623,19.327589,17.64386,18.483706
4311349611274400000,283.29124801157946,10.07110906326471,1.1213448126509526,20.486649,18.78973,19.732685
4311514774206400000,282.5494600034945,9.947408043082529,0.4905483045735421,19.727766,18.100153,18.924854
4311299308600000000,283.18336017380176,9.715425279266004,1.6675890211014486,21.40146,19.818415,20.62819
4311299785322400000,282.80447234142497,9.482771943760078,0.27209632483005175,19.530455,17.774883,18.685474
4311300098877600000,282.8785390838496,9.504669623160797,0.5964012685279837,20.68554,18.808445,19.825815
4311406201738000000,282.0923400248614,9.507798719284041,0.2328775103788392,19.898933,18.089457,18.96448
4311462105048800000,282.0368755481856,9.80001973133181,0.10719408036988501,19.987717,18.587025,19.367355
4311464166634400000,281.8306507735607,9.782732840017957,2.5640114803917404,,,20.51701
4311409564683600000,282.07815889822376,9.557063519965151,0.3562333030672171,19.99903,18.3728,19.194601
4311304084601200000,282.76620610784727,9.571347105087177,0.32452159845711037,18.949686,17.254105,18.217184
4311409839561600000,282.0520455581989,9.576077384226545,0.28322260501655006,19.712433,18.272638,19.03781
4311466193858400000,281.98000294801756,9.863116961925714,1.5217187509085348,21.301788,19.404875,20.310287
4311411458779200000,282.0410432554772,9.64815859449609,0.5057654425573143,,18.991661,20.33251
4311411527498800000,282.02579541371523,9.654323411216415,0.3530795400380407,,,19.312504
4311520860178800000,282.61279382261245,9.98780884887294,0.08364013429240588,,,18.902994
4311520894575200000,282.6148720875014,9.991792438560024,1.4622359887330705,18.49284,17.13091,18.242222
4311468186725200000,282.077908564508,9.850226410181842,2.4493898536856036,,,20.36095
4311412382185200000,282.19145059211394,9.677889829223037,0.34618798349786745,19.511375,17.682573,18.72399
4311413417284000000,282.15990279875115,9.70201467315421,0.018122845173067906,,,19.3487
4311522711308000000,282.69282248523916,10.034823701895267,0.27524724269299006,20.031462,18.306953,19.20941
4311470317030000000,282.18528757733463,9.909985608102811,0.6156894445441548,21.240492,19.7589,20.361088
4311523024878800000,282.67770350012097,10.065081459532278,0.1424701311143171,17.533867,15.775556,16.685698
4311415478870000000,282.32251792688965,9.687882834136802,0.1961730418156108,20.230541,16.892136,19.421549
4311309857040800000,282.9655049122269,9.699487599875118,0.09539715324100863,19.399406,17.989788,18.743809
4311523986914400000,282.5864553140412,10.014810140068613,0.912587246279016,19.350233,18.050505,19.419846
4311310578617600000,283.1178934238009,9.692541210083876,0.4673011542527088,19.765732,17.984137,18.923403
4311313499195600000,282.9482852926653,9.741286595584114,0.31945281248924384,18.249912,16.794237,17.58497
4311366958609200000,282.00018040602515,9.312079452194967,0.05587700517903446,19.016693,17.287506,18.16483
4311420010047600000,282.25228106344844,9.778509699779494,0.41951174325471674,17.822672,16.232718,17.06798
4311367340861200000,282.0109273423308,9.322154729354695,0.4026712246509139,20.592531,19.022781,19.731915
4311476982820800000,281.73359089441306,9.848653586311281,0.18002652955589357,20.803427,19.200771,19.962807
4311367718857600000,282.1225221717942,9.31702140247533,0.8632750299507119,17.426975,15.886607,16.738327
4311422900600800000,281.60066942423134,9.329254133877718,0.11239851454240557,16.669495,14.672619,15.665705
4311423274218000000,281.669399665225,9.356502028932807,0.8438657870349119,19.948896,17.833582,18.842472
4311479869050000000,281.67929195713316,9.849583213725273,0.0814498367475729,16.03097,11.643939,13.111459
4311371051714000000,281.75152973645123,9.208239770380654,0.8815652510365848,20.980871,19.54106,20.395794
4311318236498800000,283.30698761072904,9.661273551603307,0.4319642724070086,19.340385,17.452896,18.35329
4311371326630400000,281.7373511910734,9.221180942788308,0.3217016095266693,14.842423,13.007549,13.938598
4311531163806800000,283.11976047212414,10.033958719174992,0.42507274899344993,19.895128,18.425568,19.17582
4311531717893200000,283.0260000042863,10.042881891065266,0.7430821268846959,19.970829,18.415266,19.234877
4311483030135200000,281.8239744018115,9.999729114835631,0.3520588502669109,20.886993,18.771063,20.315706
4311320233688400000,283.50688079175774,9.765665148574183,1.9989471249839652,21.335941,19.259525,20.540623
4311320371127600000,283.41895161415664,9.727097181717307,0.17453706061059793,20.85875,18.810434,19.550531
4311373693115200000,281.86905801696525,9.307603354559523,0.6166470323410704,19.470497,17.90448,18.70793
4311484194039600000,281.96482881821873,9.915384544595922,0.9192237257627012,20.3378,17.9616,19.267443
4311533745083200000,282.87827931524214,10.042609609083032,0.15833604813643262,19.594124,18.02965,18.869835
4165965140074000000,261.62548592451566,-10.946019651997632,0.6102168940598351,20.811552,19.203209,20.019629
4311537039322400000,283.18553710273727,10.074429284450142,0.5433735703916021,16.390055,15.074343,15.821803
4165968644760000000,261.5633177979019,-10.901697189954499,2.138548004527271,21.536098,19.3092,20.411413
4166321274454400000,261.89371947412593,-9.985467987438417,0.3095190620971371,20.579002,18.41117,19.41528
4311539861118000000,283.34052791069536,10.199104142251459,0.0860285501412015,19.06738,17.479502,18.385666
4165674250518800000,266.4726286301093,-8.091422359973334,0.6699041525192879,,,19.478865
